timestamp,accX,accY,accZ
606004,208,-57,-15890
606008,370,106,-16927
606012,457,-193,-16736
606016,386,81,-16282
606020,485,-21,-16724
606024,680,-49,-16527
606028,209,-40,-15924
606032,647,189,-16126
606036,586,-104,-17232
606040,260,33,-15152
606044,153,11,-16554
606048,414,4,-16198
606052,173,217,-16220
606056,124,-177,-16294
606060,369,158,-16276
606064,511,50,-16146
606068,77,-1,-16794
606072,743,60,-15772
606075,617,343,-16967
606079,252,-300,-16606
606084,359,174,-15946
606088,538,121,-16411
606092,536,-108,-16416
606096,339,44,-16293
606100,229,-181,-16243
606104,274,56,-16903
606108,429,145,-15927
606112,248,127,-16547
606116,159,0,-16600
606119,196,16,-16167
606123,398,69,-15473
606127,149,-82,-17808
606131,412,-229,-14997
606135,350,426,-17654
606139,143,-96,-15378
606143,613,111,-15424
606147,416,9,-17800
606151,56,-188,-15012
606155,512,119,-16945
606159,671,-236,-16638
606163,362,-28,-16127
606167,396,188,-16981
606171,75,56,-16924
606175,477,194,-15480
606179,358,86,-18103
606183,233,26,-15159
606187,77,2,-16115
606191,309,405,-16895
606195,507,-279,-16932
606199,413,261,-16224
606203,613,-70,-16889
606207,411,27,-16722
606211,221,-27,-15589
606215,768,-215,-16449
606219,594,118,-16906
606223,374,-260,-15270
606227,283,146,-17372
606231,113,-62,-15844
606235,615,-7,-16744
606239,450,215,-17391
606243,-88,89,-15698
606247,204,54,-16055
606251,229,173,-17033
606255,440,-200,-15962
606259,441,366,-16189
606263,129,199,-16259
606267,312,-171,-17056
606271,392,103,-17174
606275,561,-82,-16070
606279,493,-110,-17375
606283,104,-46,-15761
606287,232,327,-16581
606291,428,16,-17293
606295,747,207,-15530
606299,-177,-245,-17494
606303,112,-364,-16136
606307,832,269,-16285
606311,257,-63,-16744
606315,410,-127,-16186
606319,379,373,-16512
606323,263,-79,-17592
606327,324,436,-15737
606331,253,15,-17122
606335,218,303,-17383
606339,219,-64,-15710
606343,251,538,-16903
606347,392,-444,-17024
606351,402,129,-15643
606355,602,-76,-16293
606359,453,-151,-16838
606363,261,69,-15953
606367,338,-203,-17640
606371,605,-33,-16222
606375,237,469,-16255
606379,349,-123,-17108
606383,-48,182,-16362
606387,583,576,-17125
606391,511,-12,-18466
606395,115,212,-15312
