timestamp,accX,accY,accZ
121193,-1085,75,-16448
121197,-1092,81,-16445
121201,-1096,89,-16425
121205,-1092,86,-16444
121209,-1103,95,-16451
121213,-1089,92,-16419
121217,-1093,65,-16418
121222,-1093,83,-16440
121226,-1078,74,-16446
121230,-1086,72,-16433
121234,-1083,61,-16438
121238,-1077,69,-16443
121242,-1089,77,-16446
121246,-1081,81,-16443
121250,-1083,86,-16435
121254,-1085,73,-16450
121258,-1082,68,-16419
121262,-1078,63,-16413
121267,-1100,74,-16423
121271,-1098,83,-16438
121275,-1095,77,-16426
121279,-1081,75,-16432
121283,-1082,81,-16443
121287,-1071,83,-16458
121291,-1094,70,-16444
121295,-1089,89,-16425
121299,-1086,91,-16428
121304,-1082,89,-16421
121308,-1081,77,-16431
121312,-1095,83,-16435
121316,-1095,86,-16448
121320,-1097,85,-16432
121324,-1100,82,-16427
121328,-1098,54,-16443
121332,-1093,73,-16440
121336,-1103,88,-16424
121341,-1082,92,-16429
121345,-1069,83,-16455
121349,-1095,88,-16434
121353,-1091,62,-16420
121357,-1095,69,-16421
121361,-1085,67,-16451
121365,-1094,102,-16445
121369,-1094,86,-16429
121373,-1096,84,-16435
121377,-1091,77,-16437
121382,-1106,70,-16432
121386,-1086,75,-16447
121390,-1095,69,-16440
121394,-1094,76,-16439
121398,-1098,62,-16436
121402,-1076,83,-16437
121406,-1082,74,-16434
121410,-1095,70,-16440
121414,-1084,79,-16464
121418,-1091,76,-16426
121422,-1081,83,-16419
121427,-1098,76,-16443
121431,-1094,81,-16430
121435,-1095,88,-16432
121439,-1087,83,-16435
121443,-1080,75,-16446
121447,-1100,78,-16421
121451,-1090,74,-16437
121455,-1103,78,-16421
121459,-1100,81,-16417
121463,-1104,87,-16411
121468,-1091,79,-16429
121472,-1093,66,-16414
121476,-1085,71,-16428
121480,-1078,95,-16429
121484,-1085,102,-16429
121488,-1101,79,-16426
121492,-1076,61,-16425
121496,-1095,76,-16437
121500,-1090,78,-16433
121505,-1059,70,-16416
121509,-1099,58,-16435
121513,-1089,60,-16437
121517,-1108,77,-16432
121521,-1089,82,-16443
121525,-1105,75,-16445
121529,-1089,72,-16429
121533,-1097,78,-16434
121537,-1091,64,-16435
121541,-1092,71,-16430
121545,-1089,70,-16445
121550,-1090,84,-16454
121554,-1099,94,-16435
121558,-1087,98,-16434
121562,-1077,79,-16438
